Ticket: Gender male; ClassThird; Price: $ 7.925; Port: Southampton;
Ticket: Gender male; ClassSecond; Price: $ 10.5; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 31.0; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 6.4375; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 8.6625; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.55; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 69.55; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.8958; Port: Cherbourg;
Ticket: Gender male; ClassSecond; Price: $ 33.0; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 89.1042; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 31.275; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.775; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 15.2458; Port: Cherbourg;
Ticket: Gender female; ClassFirst; Price: $ 39.4; Port: Southampton;
Ticket: Gender female; ClassSecond; Price: $ 26.0; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 9.35; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 164.8667; Port: Southampton;
Ticket: Gender male; ClassFirst; Price: $ 26.55; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 19.2583; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 7.2292; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 14.1083; Port: Southampton;
Ticket: Gender male; ClassSecond; Price: $ 11.5; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 25.9292; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 69.55; Port: Southampton;
Ticket: Gender male; ClassSecond; Price: $ 13.0; Port: Southampton;
Ticket: Gender female; ClassSecond; Price: $ 13.0; Port: Southampton;
Ticket: Gender female; ClassSecond; Price: $ 13.8583; Port: Cherbourg;
Ticket: Gender male; ClassFirst; Price: $ 50.4958; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 9.5; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 11.1333; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.8958; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 52.5542; Port: Southampton;
Ticket: Gender male; ClassFirst; Price: $ 5.0; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 9.0; Port: Southampton;
Ticket: Gender female; ClassSecond; Price: $ 24.0; Port: Cherbourg;
Ticket: Gender female; ClassThird; Price: $ 7.225; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 9.8458; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.8958; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.8958; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 83.1583; Port: Cherbourg;
Ticket: Gender female; ClassSecond; Price: $ 26.0; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.8958; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 10.5167; Port: Southampton;
Ticket: Gender male; ClassSecond; Price: $ 10.5; Port: Southampton;
Ticket: Gender male; ClassThird; Price: $ 7.05; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 29.125; Port: Queenstown;
Ticket: Gender male; ClassSecond; Price: $ 13.0; Port: Southampton;
Ticket: Gender female; ClassFirst; Price: $ 30.0; Port: Southampton;
Ticket: Gender female; ClassThird; Price: $ 23.45; Port: Southampton;
Ticket: Gender male; ClassFirst; Price: $ 30.0; Port: Cherbourg;
Ticket: Gender male; ClassThird; Price: $ 7.75; Port: Queenstown;